latitude, longitude
38.63258, -90.227723
38.63258, -90.227723
38.642797, -90.259853
38.632544, -90.227876
38.628626, -90.195616
38.637479, -90.238674
38.6312, -90.1926
38.62366, -90.194984
38.628132, -90.19241
38.633305, -90.231206
38.632531, -90.227794
38.63256, -90.227826
38.632584, -90.227541
38.637818, -90.225527
38.635599, -90.265728
38.635574, -90.265587
38.621112, -90.221256
38.626645, -90.195428
38.629843, -90.209005
38.626486, -90.212815
38.633622, -90.200714
38.635574, -90.265582
38.636175, -90.189938
38.631372, -90.192381
38.635573, -90.265657
38.637803, -90.225714
38.631198, -90.192575
38.636126, -90.237367
38.656234, -90.27614
38.6378, -90.2257
38.656234, -90.27614
38.64616, -90.234288
38.629229, -90.250055
38.646123, -90.234098
38.646123, -90.234098
38.646123, -90.234098
38.645776, -90.223466
38.634972, -90.237602
38.648465, -90.267491
38.646123, -90.234098
38.657498, -90.229913
38.632503, -90.227859
38.646123, -90.234098
38.648465, -90.267491
38.646123, -90.234098
38.637803, -90.225714
38.648242, -90.267504
38.631048, -90.230655
38.629797, -90.210912
38.621386, -90.214997
38.631513, -90.270331
38.671094, -90.226817
38.633567, -90.200737
38.646146, -90.234244
38.648479, -90.26433
38.638572, -90.232896
38.63397, -90.20092
38.645839, -90.244571
